6.742: [GC 78849K->78849K(79180K), 0.000393 secs]
6.762: [GC 79180K->79180K(79512K), 0.000623 secs]
6.796: [GC 79512K->79512K(79843K), 0.000663 secs]
6.833: [GC 79843K->79843K(80174K), 0.000460 secs]
6.854: [GC 80174K->80174K(80506K), 0.000387 secs]
6.873: [GC 80506K->80506K(80837K), 0.000390 secs]
6.893: [GC 80837K->80837K(81168K), 0.000394 secs]
6.914: [GC 81168K->81168K(81499K), 0.000398 secs]
6.934: [GC 81499K->81499K(81831K), 0.000393 secs]
6.954: [GC 81831K->81831K(82162K), 0.000401 secs]
6.974: [GC 82162K->82162K(82493K), 0.000391 secs]
6.994: [GC 82493K->82493K(82825K), 0.000391 secs]
7.025: [GC 82825K->82825K(83156K), 0.000673 secs]
7.065: [GC 83156K->83156K(83487K), 0.000559 secs]
7.089: [GC 83487K->83487K(83819K), 0.000392 secs]
7.109: [GC 83819K->83819K(84150K), 0.000389 secs]
7.129: [GC 84150K->84150K(84481K), 0.000392 secs]
7.150: [GC 84481K->84481K(84813K), 0.000406 secs]
7.170: [GC 84813K->84813K(85144K), 0.000407 secs]
7.190: [GC 85144K->85144K(85475K), 0.000601 secs]
7.210: [GC 85475K->85475K(85806K), 0.000432 secs]
7.230: [GC 85806K->85806K(86138K), 0.000392 secs]
7.251: [GC 86138K->86138K(86469K), 0.000673 secs]
7.291: [GC 86469K->86469K(86800K), 0.000727 secs]
7.325: [GC 86800K->86800K(87132K), 0.000465 secs]
7.347: [GC 87132K->87132K(87463K), 0.000396 secs]
7.367: [GC 87463K->87463K(87794K), 0.000391 secs]
7.387: [GC 87794K->87794K(88126K), 0.000389 secs]
7.408: [GC 88126K->88126K(88457K), 0.000395 secs]
7.428: [GC 88457K->88457K(88788K), 0.000390 secs]
7.448: [GC 88788K->88788K(89119K), 0.000387 secs]
7.468: [GC 89119K->89119K(89451K), 0.000407 secs]
7.488: [GC 89451K->89451K(89782K), 0.000399 secs]
7.524: [GC 89782K->89782K(90113K), 0.000668 secs]
7.561: [GC 90113K->90113K(90445K), 0.000466 secs]
7.583: [GC 90445K->90445K(90776K), 0.000393 secs]
7.603: [GC 90776K->90776K(91107K), 0.000395 secs]
7.622: [GC 91107K->91107K(91439K), 0.000394 secs]
7.642: [GC 91439K->91439K(91770K), 0.000390 secs]
7.661: [GC 91770K->91770K(92101K), 0.000395 secs]
7.680: [GC 92101K->92101K(92432K), 0.000423 secs]
7.699: [GC 92432K->92432K(92764K), 0.000388 secs]
7.718: [GC 92764K->92764K(93095K), 0.000406 secs]
7.737: [GC 93095K->93095K(93426K), 0.000398 secs]
7.774: [GC 93426K->93426K(93758K), 0.000679 secs]
7.808: [GC 93758K->93758K(94089K), 0.000479 secs]
7.829: [GC 94089K->94089K(94420K), 0.000399 secs]
7.849: [GC 94420K->94420K(94752K), 0.000401 secs]
7.870: [GC 94752K->94752K(95083K), 0.000400 secs]
7.890: [GC 95083K->95083K(95414K), 0.000388 secs]
7.910: [GC 95414K->95414K(95745K), 0.000391 secs]
7.930: [GC 95745K->95745K(96077K), 0.000385 secs]
7.951: [GC 96077K->96077K(96408K), 0.000389 secs]
7.971: [GC 96408K->96408K(96739K), 0.000392 secs]
7.995: [GC 96739K->96739K(97071K), 0.000661 secs]
8.034: [GC 97071K->97071K(97402K), 0.000708 secs]
8.063: [GC 97402K->97402K(97733K), 0.000379 secs]
8.083: [GC 97733K->97733K(98065K), 0.000377 secs]
8.103: [GC 98065K->98065K(98396K), 0.000379 secs]
8.122: [GC 98396K->98396K(98727K), 0.000388 secs]
8.141: [GC 98727K->98727K(99058K), 0.000447 secs]
8.160: [GC 99058K->99058K(99390K), 0.000384 secs]
8.179: [GC 99390K->99390K(99721K), 0.000388 secs]
8.201: [GC 99721K->99721K(100052K), 0.000746 secs]
8.238: [GC 100052K->100052K(100384K), 0.000684 secs]
8.270: [GC 100384K->100384K(100715K), 0.000451 secs]
8.291: [GC 100715K->100715K(101046K), 0.000394 secs]
